epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1768.42,1.73261,1.94289,1.24497,0.91041,0.33333,0.34642,0.21702,1.47094,4.3231,1.1468,0.000792325,0.000792325,0.000792325
55,1803.07,1.20207,1.66787,1.03094,1,0.32525,0.3429,0.20574,1.40682,4.55046,1.18292,0.000775822,0.000775822,0.000775822
56,1836.45,0.77154,1.51673,0.59378,0.66628,0.33333,0.34974,0.15733,1.45951,5.03377,1.22874,0.000759318,0.000759318,0.000759318
57,1871.02,1.58124,2.08759,1.27551,0.64982,0.33333,0.36264,0.1633,1.67168,5.28062,1.27937,0.000742815,0.000742815,0.000742815
58,1905.2,1.68275,2.08522,1.29761,0.82999,0.33333,0.39028,0.23417,2.18356,5.33923,1.55268,0.000726312,0.000726312,0.000726312
59,1943.8,2.09623,1.88453,1.55306,0.11111,0.33333,0.28685,0.13605,2.76311,5.79233,2.00595,0.000709809,0.000709809,0.000709809
60,1981.59,1.68775,3.12657,1.19671,0,0,0,0,4.28516,6.18738,2.46783,0.000693305,0.000693305,0.000693305
61,2024.26,1.74924,2.40368,1.34454,0.16667,0.33333,0.33361,0.08553,4.013,5.91046,2.2187,0.000676802,0.000676802,0.000676802
62,2058.63,1.75905,1.84423,1.44733,1,0.30748,0.40133,0.19316,3.5689,5.74643,2.06328,0.000660299,0.000660299,0.000660299
63,2100.15,1.44293,2.02066,1.13248,0,0,0,0,2.28786,6.09561,1.45512,0.000643795,0.000643795,0.000643795
64,2140.69,1.77778,2.21266,1.4236,0.08554,0.16667,0.04148,0.01921,1.64169,4.35688,1.09733,0.000627292,0.000627292,0.000627292
65,2179.01,1.54763,1.78701,1.21745,0.34423,0.16667,0.12316,0.04369,1.62498,4.20447,1.11898,0.000610789,0.000610789,0.000610789
66,2217.62,1.25929,2.49946,1.00435,0.46254,0.33333,0.22946,0.10177,1.55001,4.51354,1.02612,0.000594286,0.000594286,0.000594286
67,2257.52,1.60678,1.75353,1.31152,0.54015,0.33333,0.38767,0.194,1.77519,4.85929,1.04531,0.000577782,0.000577782,0.000577782
68,2297.24,1.19322,1.47811,0.9205,0.57771,0.33333,0.29533,0.1459,1.86167,4.62388,1.0772,0.000561279,0.000561279,0.000561279
69,2336.54,1.64683,1.66016,1.14831,0.6171,0.33333,0.28402,0.14017,1.96168,4.45929,1.10717,0.000544776,0.000544776,0.000544776
